name,address,lat,lon
A.M. Pharmacy Pte Ltd,"150, ORCHARD ROAD, #04-06, ORCHARD PLAZA, SG(238841)",,
AIRPORT PHARMACY T4 South,"10, AIRPORT BOULEVARD, #02-55/56, CHANGI AIRPORT TERMINAL 4, SG(819665)",,
Alchemy Pharmacy,"258, PASIR RIS STREET 21, #01-14, LOYANG POINT, SG(510258)",,
Alexandra Hospital Retail Pharmacy,"378, ALEXANDRA ROAD, #01-00, ALEXANDRA HOSPITAL, SG(159964)",,
Amber Compounding Pharmacy,"96, OWEN ROAD, #01-01, SG(218908)",,
CGH Pharmacy B,"2, SIMEI STREET 3, CHANGI GENERAL HOSPITAL, SG(529889)",,
"Child Guidance Clinic, Health Promotion Board","3, SECOND HOSPITAL AVENUE, #03-01, HEALTH PROMOTION BOARD, SG(168937)",,
Clinic B Pharmacy,"10, BUANGKOK VIEW, #01-BLK 1, INSTITUTE OF MENTAL HEALTH, SG(539747)",,
Community Wellness Clinic Queenstown Pharmacy,"580, STIRLING ROAD, #04-00, QUEENSTOWN POLYCLINIC, SG(148958)",,
Essentials Pharmacy,"101, UPPER CROSS STREET, #01-23, PEOPLE'S PARK CENTRE, SG(058357)",,
Farrer Park Pharmacy,"1, FARRER PARK STATION ROAD, #01-03, CONNEXION, SG(217562)",,
GLENEAGLES HOSPITAL,"6A, NAPIER ROAD, #02-00, GLENEAGLES HOSPITAL, SG(258500)",,
GRACE HEALTHCARE,"634, BUKIT BATOK CENTRAL, #01-110, SG(650634)",,
Glovida-Rx Pharmacy,SG,,
Guardian Pharmacy ( Waterway Point),"83, PUNGGOL CENTRAL, #B1-04, WATERWAY POINT, SG(828761)",,
Guardian Pharmacy (Admiralty Place),"678A, WOODLANDS AVENUE 6, #01-13, ADMIRALTY PLACE, SG(731678)",,
Guardian Pharmacy (Ang Mo Kio Hub),"53, ANG MO KIO AVENUE 3, #B2-01/02, AMK HUB, SG(569933)",,
Guardian Pharmacy (Bedok Central),"210, NEW UPPER CHANGI ROAD, #01-715, SG(460210)",,
