year,monthly_rent,monthly_instalment,property_value
1,4000.0,3556.088089,1500000.0
2,4040.0,3556.088089,1530000.0
3,4080.4,3556.088089,1560600.0
4,4121.204,3556.088089,1591812.0
5,4162.41604,3556.088089,1623648.24
6,4204.0402,3556.088089,1656121.205
7,4246.080602,3556.088089,1689243.629
8,4288.541408,3556.088089,1723028.501
9,4331.426823,3556.088089,1757489.072
10,4374.741091,3556.088089,1792638.853
11,4418.488502,3556.088089,1828491.63
12,4462.673387,3556.088089,1865061.463
13,4507.300121,3556.088089,1902362.692
14,4552.373122,3556.088089,1940409.946
15,4597.896853,3556.088089,1979218.145
16,4643.875821,3556.088089,2018802.507
17,4690.31458,3556.088089,2059178.558
18,4737.217725,3556.088089,2100362.129
19,4784.589903,3556.088089,2142369.371
20,4832.435802,3556.088089,2185216.759
21,4880.76016,3556.088089,2228921.094
22,4929.567761,3556.088089,2273499.516
23,4978.863439,3556.088089,2318969.506
24,5028.652073,3556.088089,2365348.896
25,5078.938594,3556.088089,2412655.874
26,5129.72798,3556.088089,2460908.992
27,5181.02526,3556.088089,2510127.172
28,5232.835512,3556.088089,2560329.715
29,5285.163868,3556.088089,2611536.309
30,5338.015506,3556.088089,2663767.035
