year,age,start_balance,monthly_save,end_balance
1,25,10000.0,1000.0,27500.0
2,26,27500.0,1030.0,46385.0
3,27,46385.0,1060.9,66739.55
4,28,66739.55,1092.727,88652.8865
5,29,88652.8865,1125.50881,112219.1806
6,30,112219.1806,1159.274074,137537.7989
7,31,137537.7989,1194.052297,164713.5779
8,32,164713.5779,1229.873865,193857.1125
9,33,193857.1125,1266.770081,225085.0595
10,34,225085.0595,1304.773184,258520.4566
11,35,258520.4566,1343.916379,294293.0579
12,36,294293.0579,1384.233871,332539.6866
13,37,332539.6866,1425.760887,373404.606
14,38,373404.606,1468.533713,417039.9094
15,39,417039.9094,1512.589725,463605.9302
16,40,463605.9302,1557.967417,513271.6728
17,41,513271.6728,1604.706439,566215.2659
18,42,566215.2659,1652.847632,622624.4389
19,43,622624.4389,1702.433061,682697.0229
20,44,682697.0229,1753.506053,746641.477
21,45,746641.477,1806.111235,814677.4418
22,46,814677.4418,1860.294572,887036.3216
23,47,887036.3216,1916.103409,963961.8956
24,48,963961.8956,1973.586511,1045710.961
25,49,1045710.961,2032.794106,1132554.009
26,50,1132554.009,2093.77793,1224775.934
