school_name,postal_code,level,lat,lon
ADMIRALTY PRIMARY SCHOOL,738907,PRIMARY,1.4429414,103.8003451
AHMAD IBRAHIM PRIMARY SCHOOL,768643,PRIMARY,1.4338487,103.8327098
AI TONG SCHOOL,579646,PRIMARY,1.3607126,103.8330175
ALEXANDRA PRIMARY SCHOOL,159016,PRIMARY,1.2913462,103.8241492
ANCHOR GREEN PRIMARY SCHOOL,544969,PRIMARY,1.3903798,103.8873538
ANDERSON PRIMARY SCHOOL,569785,PRIMARY,1.2899175,103.8519072
ANG MO KIO PRIMARY SCHOOL,569920,PRIMARY,1.3689738,103.8392312
ANGLO-CHINESE SCHOOL (JUNIOR),227988,PRIMARY,1.3091048,103.8414097
ANGLO-CHINESE SCHOOL (PRIMARY),309918,PRIMARY,1.3187524,103.8350769
ANGSANA PRIMARY SCHOOL,528565,PRIMARY,1.3636547,103.9389069
BEACON PRIMARY SCHOOL,679944,PRIMARY,1.383759,103.773841
BEDOK GREEN PRIMARY SCHOOL,469317,PRIMARY,1.3237085,103.9378554
BENDEMEER PRIMARY SCHOOL,339948,PRIMARY,1.3222744,103.8651292
BLANGAH RISE PRIMARY SCHOOL,109100,PRIMARY,1.2764057,103.8088099
BOON LAY GARDEN PRIMARY SCHOOL,649930,PRIMARY,1.3428882,103.7129331
BUKIT PANJANG PRIMARY SCHOOL,679676,PRIMARY,1.3734169,103.7694303
BUKIT TIMAH PRIMARY SCHOOL,598112,PRIMARY,1.3375191,103.7668494
BUKIT VIEW PRIMARY SCHOOL,659634,PRIMARY,1.3457009,103.7535185
CANBERRA PRIMARY SCHOOL,757714,PRIMARY,1.4508627,103.8155806
CANOSSA CATHOLIC PRIMARY SCHOOL,387621,PRIMARY,1.3266176,103.8816581
CANTONMENT PRIMARY SCHOOL,88256,PRIMARY,1.2899175,103.8519072
CASUARINA PRIMARY SCHOOL,518935,PRIMARY,1.3728079,103.9572279
CEDAR PRIMARY SCHOOL,349700,PRIMARY,1.3355312,103.8754848
CHANGKAT PRIMARY SCHOOL,529896,PRIMARY,1.3398234,103.9522753
CHIJ (KATONG) PRIMARY,424821,PRIMARY,1.3064379,103.9108392
CHIJ (KELLOCK),99757,PRIMARY,1.2899175,103.8519072
CHIJ OUR LADY OF GOOD COUNSEL,558979,PRIMARY,1.3577539,103.8638906
CHIJ OUR LADY OF THE NATIVITY,534793,PRIMARY,1.3731107,103.8976899
CHIJ OUR LADY QUEEN OF PEACE,679287,PRIMARY,1.3664476,103.768147
CHIJ PRIMARY (TOA PAYOH),319765,PRIMARY,1.3331268,103.842403
CHONGFU SCHOOL,768959,PRIMARY,1.4387276,103.8392901
CHONGZHENG PRIMARY SCHOOL,529392,PRIMARY,1.3505443,103.9509206
CHUA CHU KANG PRIMARY SCHOOL,689905,PRIMARY,1.3779378,103.7419841
CLEMENTI PRIMARY SCHOOL,129903,PRIMARY,1.3155915,103.7632256
COMPASSVALE PRIMARY SCHOOL,545091,PRIMARY,1.3944211,103.8980033
CONCORD PRIMARY SCHOOL,689814,PRIMARY,1.3801678,103.7363788
