rank,name,score,gender,ip,ibdp,sap,affiliated,programmes,lat,lon
1,Hwa Chong Institution,259,Boys,IP,,SAP,,"IP, SAP",1.3262797,103.8035258
2,Raffles Girls’ School,259,Girls,IP,,,,IP,1.3429556,103.8433071
3,Methodist Girls’ School,258,Girls,IP,IB,,Affiliated,"IP, IB, Affiliated",1.3330844,103.7833955
4,Nanyang Girls’ High School,258,Girls,IP,,SAP,Affiliated,"IP, SAP, Affiliated",1.3305084,103.802324
5,Raffles Institution,258,Boys,IP,,,,IP,1.3467461,103.8444567
6,Dunman High School,256,Co-Ed,IP,,SAP,,"IP, SAP",1.2994032,103.882215
7,National Junior College,256,Co-Ed,IP,,,,IP,1.330727,103.8044167
8,CHIJ St. Nicholas Girls’ School,255,Girls,IP,,SAP,Affiliated,"IP, SAP, Affiliated",1.3734491,103.8340777
9,Anglo-Chinese School (Independent),254,Boys,IP,IB,,Affiliated,"IP, IB, Affiliated",1.3032232,103.7806778
10,Catholic High School,254,Boys,IP,,SAP,,"IP, SAP",1.3548572,103.8449949
11,Methodist Girls’ School (O-Levels),254,Girls,IB,,,Affiliated,"IP, Affiliated",,
12,Cedar Girls’ Secondary School,253,Girls,IP,,,,IP,1.3342202,103.8742312
13,CHIJ St. Nicholas Girls’ School,253,Girls,,,SAP,Affiliated,"SAP, Affiliated",1.3734491,103.8340777
14,River Valley High School,252,Co-Ed,IP,,SAP,,"IP, SAP",1.3433748,103.7093058
15,Singapore Chinese Girls’ School,252,Girls,IP,,,Affiliated,"IP, Affiliated",1.3210713,103.8275742
16,Singapore Chinese Girls’ School (O-Levels),252,Girls,,,,Affiliated,Affiliated,,
17,Victoria School,252,Boys,IP,,,,IP,1.3084391,103.9274219
18,Catholic High School (O-Levels),251,Boys,,,SAP,,SAP,,
19,Anglo-Chinese School (Independent),250,Boys,,,,Affiliated,Affiliated,1.3032232,103.7806778
20,Cedar Girls’ Secondary School,250,Girls,,,,,—,1.3342202,103.8742312
21,Paya Lebar Methodist Girls’ School,250,Girls,,,,Affiliated,Affiliated,,
22,St. Joseph’s Institution,250,Boys,IP,IB,,Affiliated,"IP, IB, Affiliated",1.3242,103.8283264
23,Temasek Junior College,250,Co-Ed,IP,,,,IP,1.3181342,103.9345803
24,Anderson Secondary School,247,Co-Ed,,,,,—,1.3754171,103.8517227
25,CHIJ Secondary (Toa Payoh),246,Girls,,,,Affiliated,Affiliated,1.3326721,103.8428466
26,Victoria School (O-Levels),246,Boys,,,,,—,,
27,Anglo-Chinese School (Barker Road),245,Boys,,,,Affiliated,Affiliated,1.3197094,103.8356614
28,Bukit Panjang Govt. High School,245,Co-Ed,,,,,—,,
29,Nan Hua High School,245,Co-Ed,,,,,—,1.3084123,103.7690446
30,St. Joseph’s Institution (O-Levels),245,Boys,,,,Affiliated,Affiliated,,
31,Nan Chiau High School,244,Co-Ed,,,SAP,,SAP,1.3894693,103.8900833
32,Chung Cheng High School (Main),242,Co-Ed,,,SAP,,SAP,1.3053551,103.8917708
33,Crescent Girls’ School,242,Girls,,,,,—,1.2934392,103.8180238
34,Fairfield Methodist School,242,Co-Ed,,,,Affiliated,Affiliated,1.3008445,103.7856652
35,St. Andrew’s Secondary School,242,Boys,,,,Affiliated,Affiliated,1.3311102,103.8661242
36,St. Margaret’s Secondary School,242,Girls,,,,Affiliated,Affiliated,1.3201687,103.8101211
37,Swiss Cottage Secondary School,242,Co-Ed,,,,,—,1.36456,103.7504331
38,Chung Cheng High School (Yishun),240,Co-Ed,,,,,—,1.4191005,103.8372873
39,Anglican High School,239,Co-Ed,,,SAP,,SAP,1.3302183,103.9417594
40,Commonwealth Secondary School,239,Co-Ed,,,,,—,1.3197772,103.7457295
41,Yishun Town Secondary School,239,Co-Ed,,,,,—,1.4326646,103.8378851
42,CHIJ St. Theresa’s Convent,238,Girls,,,,Affiliated,Affiliated,1.2761489,103.8222477
43,Ngee Ann Secondary School,238,Co-Ed,,,,,—,1.3543069,103.9566528
44,CHIJ St. Joseph’s Convent,237,Girls,,,,Affiliated,Affiliated,1.3918518,103.9024866
45,Maris Stella High School,237,Boys,,,,Affiliated,Affiliated,1.342016,103.8782516
46,Kuo Chuan Presbyterian Secondary School,236,Co-Ed,,,,Affiliated,Affiliated,,
47,Zhonghua Secondary School,236,Co-Ed,,,,,—,1.3485164,103.869346
