name,brand,address,lat,lon
NTUC Fairprice,NTUC Fairprice,,1.3856119,103.9025772
Giant,,Hougang Street 51,1.3794345,103.88795
NTUC FairPrice,NTUC Fairprice,,1.3725281,103.8939238
NTUC Fairprice,NTUC Fairprice,,1.3824983,103.893624
NTUC FairPrice,NTUC Fairprice,Rivervale Crescent,1.3923199,103.904213
NTUC FairPrice,NTUC Fairprice,,1.3943753,103.912923
NTUC FairPrice,NTUC Fairprice,Hougang Street 21,1.3575602,103.8841371
Giant,,Compassvale Bow,1.3815806,103.8970373
Giant Hypermarket,Giant Hypermarket,Bedok Road,1.3312172,103.9483149
NTUC FairPrice Finest,,The Centrepoint,1.3014954,103.839658
NTUC FairPrice,NTUC Fairprice,,1.3123256,103.9253617
NTUC FairPrice,NTUC Fairprice,,1.3373298,103.9218002
NTUC FairPrice Finest,,Marine Parade Central,1.301342,103.9071774
Cold Storage Fresh,Cold Storage,Victoria Street Bugis Junction,1.3001235,103.8560555
NTUC FairPrice,NTUC Fairprice,Dawson Road,1.2925348,103.8113068
NTUC FairPrice,,Clementi Avenue 3,1.3128156,103.7658379
NTUC FairPrice,NTUC Fairprice,,1.2812832,103.8100855
Giant,,"604 Sembawang Road, Sembawang Shopping Centre",1.441726,103.8250677
NTUC FairPrice,,,1.4495608,103.8186291
NTUC FairPrice,,,1.4479385,103.8195511
Shop N Save,,,1.4309761,103.7942332
Cold Storage,,Holland Road,1.3176941,103.7859561
Prime,,,1.3588218,103.7504894
Giant,,"Jurong West Street 61, Pioneer Mall",1.3416023,103.6969558
Sheng Siong,Sheng Siong,Yuan Ching Road,1.3255871,103.7251859
Prime Supermarket,,,1.3417008,103.6912824
Sheng Siong,,Teban Gardens Road,1.3221125,103.738207
NTUC FairPrice,NTUC Fairprice,,1.3205044,103.7426546
Cold Storage,,Eastwood Road,1.3215309,103.9555771
Giant,,Blk 376 Bukit Batok St 31,1.3586036,103.7492177
NTUC FairPrice,NTUC FairPrice,Bedok North Street 1,1.3257807,103.9316518
Sheng Siong,Sheng Siong,New Upper Changi Road,1.3244941,103.9310939
NTUC FairPrice,NTUC Fairprice,,1.2932215,103.8268848
NTUC FairPrice,NTUC Fairprice,The Clementi Mall,1.3153813,103.7643947
NTUC FairPrice,NTUC Fairprice,Bishan Place,1.350271,103.8485161
NTUC Fairprice,NTUC Fairprice,Whampoa Drive,1.3238372,103.8557907
Cold Storage Fresh,,Holland Avenue,1.3101598,103.7953924
NTUC FairPrice,,,1.2909214,103.8026888
NTUC FairPrice,NTUC Fairprice,,1.2864697,103.8265783
Cold Storage,,Seletar Road,1.3874746,103.8693009
Cold Storage,,Sengkang Square,1.3916794,103.8948873
NTUC Fairprice,NTUC Fairprice,,1.375571,103.8795488
