name,score,gender,IP,IBDP,SAP,affiliated,,,
Hwa Chong Institution,259,Boys,IP,,SAP,,,,
Raffles Girls’ School,259,Girls,IP,,,,,,
Methodist Girls’ School,258,Girls,IP,IB,,Affiliated,,,
Nanyang Girls’ High School,258,Girls,IP,,SAP,Affiliated,,,
Raffles Institution,258,Boys,IP,,,,,,
Dunman High School,256,Co-Ed,IP,,SAP,,,,
National Junior College,256,Co-Ed,IP,,,,,,
CHIJ St. Nicholas Girls’ School,255,Girls,IP,,SAP,Affiliated,,,
Anglo-Chinese School (Independent),254,Boys,IP,IB,,Affiliated,,,
Catholic High School,254,Boys,IP,,SAP,,,,
Methodist Girls’ School (O-Levels),254,Girls,IB,,,Affiliated,,,
Cedar Girls’ Secondary School,253,Girls,IP,,,,,,
CHIJ St. Nicholas Girls’ School,253,Girls,,,SAP,Affiliated,,,
River Valley High School,252,Co-Ed,IP,,SAP,,,,
Singapore Chinese Girls’ School,252,Girls,IP,,,Affiliated,,,
Singapore Chinese Girls’ School (O-Levels),252,Girls,,,,Affiliated,,,
Victoria School,252,Boys,IP,,,,,,
Catholic High School (O-Levels),251,Boys,,,SAP,,,,
Anglo-Chinese School (Independent),250,Boys,,,,Affiliated,,,
Cedar Girls’ Secondary School,250,Girls,,,,,,,
Paya Lebar Methodist Girls’ School,250,Girls,,,,Affiliated,,,
St. Joseph’s Institution,250,Boys,IP,IB,,Affiliated,,,
Temasek Junior College,250,Co-Ed,IP,,,,,,
Anderson Secondary School,247,Co-Ed,,,,,,,
CHIJ Secondary (Toa Payoh),246,Girls,,,,Affiliated,,,
Victoria School (O-Levels),246,Boys,,,,,,,
Anglo-Chinese School (Barker Road),245,Boys,,,,Affiliated,,,
Bukit Panjang Govt. High School,245,Co-Ed,,,,,,,
Nan Hua High School,245,Co-Ed,,,,,,,
St. Joseph’s Institution (O-Levels),245,Boys,,,,Affiliated,,,
Nan Chiau High School,244,Co-Ed,,,SAP,,,,
Chung Cheng High School (Main),242,Co-Ed,,,SAP,,,,
Crescent Girls’ School,242,Girls,,,,,,,
Fairfield Methodist School,242,Co-Ed,,,,Affiliated,,,
St. Andrew’s Secondary School,242,Boys,,,,Affiliated,,,
St. Margaret’s Secondary School,242,Girls,,,,Affiliated,,,
Swiss Cottage Secondary School,242,Co-Ed,,,,,,,
Chung Cheng High School (Yishun),240,Co-Ed,,,,,,,
Anglican High School,239,Co-Ed,,,SAP,,,,
Commonwealth Secondary School,239,Co-Ed,,,,,,,
Yishun Town Secondary School,239,Co-Ed,,,,,,,
CHIJ St. Theresa’s Convent,238,Girls,,,,Affiliated,,,
Ngee Ann Secondary School,238,Co-Ed,,,,,,,
CHIJ St. Joseph’s Convent,237,Girls,,,,Affiliated,,,
Maris Stella High School,237,Boys,,,,Affiliated,,,
Kuo Chuan Presbyterian Secondary School,236,Co-Ed,,,,Affiliated,,,
Zhonghua Secondary School,236,Co-Ed,,,,,,,
Fuhua Secondary School,235,Co-Ed,,,,,,,
Presbyterian High School,235,Co-Ed,,,,,,,
Tanjong Katong Girls’ School,235,Girls,,,,,,,
Xinmin Secondary School,235,Co-Ed,,,,,,,
Clementi Town Secondary School,234,Co-Ed,,,,,,,
Riverside Secondary School,234,Co-Ed,,,,,,,
Temasek Secondary School,234,Co-Ed,,,,,,,
Holy Innocents’ High School,233,Co-Ed,,,,Affiliated,,,
Kranji Secondary School,233,Co-Ed,,,,,,,
Tanjong Katong Secondary School,233,Co-Ed,,,,,,,
Dunman Secondary School,231,Co-Ed,,,,,,,
Edgefield Secondary School,229,Co-Ed,,,,,,,
St. Patrick’s School,229,Boys,,,,Affiliated,,,
Ang Mo Kio Secondary School,228,Co-Ed,,,,,,,
Bukit Batok Secondary School,228,Co-Ed,,,,,,,
Geylang Methodist School,228,Co-Ed,,,,Affiliated,,,
Jurong Secondary School,228,Co-Ed,,,,,,,
CHIJ Katong Convent,227,Girls,,,,Affiliated,,,
Evergreen Secondary School,227,Co-Ed,,,,,,,
St. Anthony’s Canossian Secondary School,227,Girls,,,,Affiliated,,,
Bowen Secondary School,226,Co-Ed,,,,,,,
Gan Eng Seng School,226,Co-Ed,,,,,,,
